Id,SalePrice
1461,111945.04913926523
1462,138847.47559324076
1463,178681.38092618593
1464,199299.28779432614
1465,192811.47397729743
1466,166649.1482791487
1467,181879.86194079256
1468,162026.81085420557
1469,182175.97363420064
1470,122555.41557951288
1471,177978.18700858604
1472,97636.73139052113
1473,95636.26280951333
1474,147488.14602394038
1475,114178.14848695959
1476,356496.85174524965
1477,247911.53866341707
1478,296780.589807326
1479,293549.4572778952
1480,496101.14635895996
1481,336777.8264289476
1482,204389.83426411924
1483,181253.0000940256
1484,166606.4112728197
1485,196774.14399979907
1486,191699.48235361604
1487,334464.78614911385
1488,233740.61206812697
1489,194671.909445245
1490,231155.593727187
1491,192927.05024526487
1492,83678.28525081705
1493,201477.88472722328
1494,274196.25151139166
1495,283627.1509993226
1496,228893.08563892546
1497,173666.5497165238
1498,171103.33533881692
1499,159859.54882683017
1500,154094.30518434243
1501,180541.5854031379
1502,158646.43149946502
1503,293534.82997143484
1504,245035.0776773489
1505,223646.8764851519
1506,181743.63748718376
1507,241941.53767299975
1508,196938.48705708608
1509,160725.84804690996
1510,148803.195964243
1511,150950.43670566115
1512,167050.37072157973
1513,151306.29290820519
1514,140215.85671515384
1515,189743.38256195895
1516,152138.56750928002
1517,170004.24464526732
1518,125064.80739329362
1519,214573.435490544
1520,124205.84293014606
1521,123963.85755540487
1522,171459.27705446503
1523,105451.97728488575
1524,118463.56283486524
1525,118428.44705832604
1526,105504.75602341637
1527,114335.07350424788
1528,135242.52817143928
1529,151580.78630117295
1530,205493.25751715648
1531,113180.732065582
1532,99865.4544011349
1533,139775.8959980401
1534,119285.3995181676
1535,140784.59855351388
1536,112148.77540258976
1537,58399.78292102721
1538,147419.8214911066
1539,181085.2442546936
1540,92797.54321080785
1541,129264.77177210088
1542,135078.76291201467
1543,173628.1464964784
1544,88075.741759059
1545,117623.3922706939
1546,134227.17750198898
1547,134418.1133396617
1548,139926.12764170137
1549,123914.97221216516
1550,132450.81161009296
1551,110991.12950267931
1552,137442.46377862422
1553,140605.36990838937
1554,111961.17419581288
1555,150297.79817826935
1556,87003.21645834898
1557,94926.88792896841
1558,104341.11945344815
1559,71487.99043956405
1560,124869.31711977409
1561,111863.15839310327
1562,138964.56902131782
1563,119269.66194560418
1564,152378.65288188405
1565,140322.00001948452
1566,235507.96658339552
1567,78265.23396396432
1568,236839.936155205
1569,116838.29667908738
1570,145025.74048230858
1571,103374.86184699567
1572,141471.81216728888
1573,226759.27375295822
1574,112153.37644261647
1575,239237.51151448942
1576,237553.874191192
1577,193469.9647521405
1578,135017.64599510992
1579,140676.5025249282
1580,202718.06516278183
1581,147619.46703143098
1582,125634.58736231067
1583,291380.1046302692
1584,227725.26748882091
1585,145875.39554543686
1586,75228.19322867897
1587,114101.74836950618
1588,153276.88957626844
1589,97804.01416764157
1590,133265.22466993486
1591,95630.74045487017
1592,114762.68282605214
1593,136685.61179303128
1594,133280.54443785836
1595,103494.69957010298
